person, 76.02%, [ 50  56 495 416]
person, 76.15%, [ 42  58 505 414]
person, 76.68%, [ 31  56 497 416]
person, 76.14%, [ 46  45 478 426]
person, 76.04%, [ 43  47 479 424]
person, 75.93%, [ 41  36 467 434]
person, 75.02%, [ 42  35 468 435]
person, 75.15%, [ 38  27 457 443]
person, 75.02%, [ 41  28 457 441]
person, 75.07%, [ 38  27 466 443]
person, 75.17%, [ 38  28 469 442]
person, 75.71%, [ 39  30 469 440]
person, 75.54%, [ 38  33 467 437]
person, 75.15%, [ 38  34 460 435]
person, 75.5%, [ 39  33 463 437]
person, 75.12%, [ 34  33 452 436]
person, 75.06%, [ 42  35 461 435]
person, 75.01%, [ 44  43 464 428]
person, 75.98%, [ 17 157 152 323]
person, 75.42%, [ 47  40 467 431]
