Face, (72, 152, 204, 284)
Face, (298, 11, 466, 179)
Face, (74, 154, 207, 287)
Face, (300, 12, 466, 178)
Face, (77, 155, 209, 287)
Face, (298, 12, 466, 180)
Face, (79, 156, 211, 288)
Face, (299, 13, 468, 182)
Face, (82, 163, 211, 292)
Face, (299, 14, 469, 184)
Face, (81, 164, 210, 293)
Face, (299, 13, 469, 183)
Face, (78, 163, 210, 295)
Face, (299, 13, 469, 183)
Face, (78, 163, 210, 295)
